0,4,5,6,7
"Масло моторное полусинтетическое Mobil Delvac LCV 10W40, 4 л, ACEA A2/B2/E7, API CI-4/CH-4/SL/SJ/CG-4/CF-4/CF 153745 Финляндия 1/4 шт.",0.076,19.0,22811.01,1200.5794736842104
"Масло моторное полусинтетическое Mobil Delvac MX ESP 10W30, 20 л, ACEA E7/E9, API CK-4/CJ-4/CI-4 PLUS/CI-4/CH-4/SN/SM 153855 Финляндия 1/1 шт.",0.04,2.0,10357.54,5178.77
"Масло моторное полусинтетическое Mobil Delvac MX Extra 10W40,  разл., ACEA E7/A2/B2, API CI-4/CH-4/CG-4/CF-4/CF/SL/SJ 152891 Финляндия 1/208 л.",6.488,6488.0,1452841.76,223.9275215782984
"Масло моторное полусинтетическое Mobil Delvac MX Extra 10W40, 20 л, ACEA E7/A2/B2, API CI-4/CH-4/CG-4/CF-4/CF/SL/SJ 152673 Финляндия 1/1 шт.",1.02,51.0,249737.01,4896.804117647059
"Масло моторное полусинтетическое Mobil Delvac MX Extra 10W40, 4 л, ACEA E7/A2/B2, API CI-4/CH-4/CG-4/CF-4/CF/SL/SJ 152538 Финляндия 1/4 шт.",0.176,44.0,50640.52,1150.920909090909
"Масло моторное полусинтетическое Mobil Super 2000 X1 10W40, 1 л, ACEA A3/B3, API SL/CF 152569 Финляндия 1/12 шт.",0.594,594.0,201969.72,340.0163636363636
"Масло моторное полусинтетическое Mobil Super 2000 X1 10W40, 20 л, ACEA A3/B3, API SL/CF 150016 Финляндия 1/1 шт.",0.02,1.0,5497.59,5497.59
"Масло моторное полусинтетическое Mobil Super 2000 X1 10W40, 20 л, ACEA A3/B3, API SL/CF 155052 Финляндия 1/1 шт.",0.06,3.0,17387.73,5795.91
"Масло моторное полусинтетическое Mobil Super 2000 X1 10W40, 4 л, ACEA A3/B3, API SL/CF 152568 Финляндия 1/4 шт.",1.936,484.0,572906.51,1183.6911363636364
"Масло моторное полусинтетическое Mobil Super 2000 X1 10W40, разл., ACEA A3/B3, API SL/CF 155051 Финляндия 1/208 л.",2.496,2496.0,592257.12,237.2825
"Масло моторное полусинтетическое Mobil Super 2000 X1 5W30, 1 л, ACEA A3/B3/B4, API CF/SJ/SL 155184 Финляндия 1/12 шт.",0.009,9.0,3383.67,375.96333333333337
"Масло моторное полусинтетическое Mobil Super 2000 X1 5W30, 4 л, ACEA A3/B3/B4, API CF/SJ/SL 155317 Финляндия 1/4 шт.",0.04,10.0,13203.47,1320.347
"Масло моторное полусинтетическое Mobil Super 2000 X1 5W30, разл., ACEA A3/B3/B4 API CF/SJ/SL 155183 Финляндия 1/208 л.",1.248,1248.0,314774.72,252.2233333333333
